player_Name	country	Player_id	Birth_year	Birth_month	Birth_day	height	weight	final_game
aaron-addison_dayne-kelly	AUS	73	1991	11	13	153	77	2008
aaron-addison_dimitri-morogiannis	AUS	74	1985	10	5	171	61	1999
aaron-addison_eros-siringo	AUS	75	1980	3	19	150	68	2007
aaron-addison_george-botezan	AUS	76	1990	10	22	173	53	1998
aaron-addison_issei-okamura	AUS	77	1984	7	2	148	79	2001
aaron-addison_ivan-goluza	AUS	78	1993	5	23	167	88	1999
aaron-addison_jacob-scott	AUS	79	1983	1	19	164	51	2008
aaron-addison_jeremy-beale	AUS	80	1990	3	14	158	61	2008
aaron-addison_juan-ignacio-batalla-diez	AUS	81	1996	11	11	157	64	1999
aaron-addison_karunuday-singh	AUS	82	1985	8	3	154	72	2007
aaron-addison_lucas-vuradin	AUS	83	1991	11	1	154	63	2004
aaron-addison_marcel-du-sart	AUS	84	1992	6	26	186	67	2010
aaron-addison_michael-ilett	AUS	85	1981	8	9	165	72	1997
aaron-addison_michael-look	AUS	86	1976	11	7	148	56	1999
aaron-addison_mislav-bosnjak	AUS	87	1982	7	7	167	76	2005
aaron-addison_nathan-eshmade	AUS	88	1978	12	8	152	88	2010
aaron-addison_nicholas-opasinov	AUS	89	1983	10	14	171	80	1999
aaron-addison_orel-ovil	AUS	90	1992	3	24	167	56	2006
aaron-addison_oscar-reeve	AUS	91	1980	3	20	184	90	2000
aaron-addison_rhett-purcell	AUS	92	1984	12	8	162	69	2007
aaron-addison_stephen-kaldawi	AUS	93	1993	7	17	165	62	2004
aaron-addison_themi-sitzoukis	AUS	94	1979	12	6	178	86	2000
aaron-addison_thomas-fancutt	AUS	95	1978	7	13	179	68	2011
aaron-addison_wishaya-trongcharoenchaikul	AUS	96	1990	3	25	159	89	2001
aaron-amaro-stafuza-michlig	ARG	97	1982	5	8	165	66	1999
aaron-amaro-stafuza-michlig_flavio-matteoli	ARG	98	1975	10	17	158	60	2002
aaron-badart	USA	99	1979	7	18	148	58	2008
aaron-badart_ashwat-sarohia	USA	100	1982	10	4	150	79	2011
aaron-badart_caio-burjaili	USA	101	1992	9	20	177	66	2000
aaron-badart_jason-mallaiah	USA	102	1978	2	3	184	78	2004
aaron-badart_michael-meschede	USA	103	1987	8	2	155	89	2012
aaron-bailey	USA	104	1984	10	21	160	81	1997
aaron-banasik	GBR	105	1989	8	24	183	73	2002
aaron-banasik_anthony-veryard	GBR	106	1993	9	17	172	54	2010
aaron-banasik_billy-harris	GBR	107	1983	6	19	182	82	1998
aaron-banasik_david-mckenzie-james	GBR	108	1979	10	24	181	67	2007
aaron-banasik_david-wright	GBR	109	1996	4	7	163	89	2010
aaron-banasik_george-coupland	GBR	110	1980	5	5	166	59	1996
aaron-banasik_hamza-laalej	GBR	111	1994	7	11	172	79	2011
aaron-banasik_jordan-angus	GBR	112	1976	9	23	181	75	2002
aaron-banasik_jorge-wilton	GBR	113	1983	7	2	157	67	2002
aaron-banasik_myles-orton	GBR	114	1993	12	18	181	86	2008
aaron-banasik_rasmus-lindstrom	GBR	115	1996	10	31	181	50	2012
aaron-banasik_raymond-zsolt-kanyo	GBR	116	1994	8	14	187	60	1998
aaron-banasik_robbie-ridout	GBR	117	1987	2	20	167	80	1998
aaron-banasik_sam-hutt	GBR	118	1987	8	28	174	66	1999
aaron-banasik_samuel-sutton	GBR	119	1984	4	4	169	59	1996
aaron-banasik_sebastian-rey	GBR	120	1979	5	31	169	61	2007
aaron-banasik_tommy-bennett	GBR	121	1996	9	8	185	60	2002
aaron-banbury	CAN	122	1989	10	9	166	71	2010
aaron-benchoam	AUS	123	1989	2	10	180	54	1998
aaron-benchoam_mark-perri	AUS	124	1987	4	31	159	66	2011
aaron-benitez	MEX	125	1993	7	6	168	84	1999
aaron-bilenky	USA	126	1980	4	5	181	55	2006
aaron-bishop	AUS	127	1975	6	1	161	62	2007
aaron-bishop_james-wong	AUS	128	1996	10	13	148	89	2006
aaron-bishop_mauricio-alvarez-guzman	CHI	129	1976	8	31	158	86	1999
aaron-brantly	USA	130	1995	10	2	173	51	2007
aaron-capitel_conor-moran	USA	131	1991	8	17	170	51	2001
aaron-carpenter	USA	132	1990	6	29	173	53	2006
aaron-carpenter_christopher-racz	USA	133	1989	8	8	167	90	2005
aaron-carpenter_mark-vennerholm	USA	134	1982	3	24	149	60	2001
aaron-carr	USA	135	1986	12	18	180	48	2000
aaron-carrascosa-delgado	ESP	136	1982	4	18	161	82	2012
aaron-carrascosa-delgado_constantin-christ	ESP	137	1979	2	22	185	69	2003
aaron-chaffee	USA	138	1990	6	23	166	49	2003
aaron-chaffee_charlie-shin	USA	139	1978	5	11	158	69	2004
aaron-chaffee_josh-hagar	USA	140	1988	10	15	184	84	1999
aaron-chan	CAN	141	1982	8	18	151	86	2011
aaron-chan_adam-scott	TTO	142	1996	8	25	152	80	2000
aaron-chan_alexey-iremashvili	CAN	143	1987	10	15	185	52	1999
aaron-chan_dmytro-kovalyov	CAN	144	1976	9	15	147	89	2008
aaron-chan_eric-chung	CAN	145	1985	2	7	182	57	1998
aaron-chan_jaydon-alexis	TTO	146	1975	5	19	162	73	1996
aaron-chan_julio-murch	CAN	147	1978	10	17	164	56	2006
aaron-chan_luke-maricic	CAN	148	1982	1	11	153	70	2001
aaron-chan_marcus-yu	CAN	149	1994	5	5	181	60	2010
aaron-chan_matthew-short	CAN	150	1982	12	21	149	84	1999
aaron-chan_max-gregor	CAN	151	1977	12	1	182	87	2000
aaron-chan_phillip-anderson	CAN	152	1989	11	17	173	47	2002
aaron-chan_vitaly-klimchev	CAN	153	1992	4	19	171	53	2006
aaron-chan_xavier-jurado	CAN	154	1975	11	27	182	45	1996
aaron-chapman	AUS	155	1979	7	5	180	51	2010
aaron-chapman_gregory-chaine	AUS	156	1987	10	21	183	65	2003
aaron-chapman_mitchell-harty	AUS	157	1991	10	1	177	88	2012
aaron-cheong	BRU	158	1990	4	24	160	49	1998
aaron-chi-wei-lau	MAC	159	1982	10	25	160	86	1999
aaron-clissold	AUS	160	1986	9	31	149	61	2012
aaron-clissold_blake-smith	AUS	161	1989	7	18	169	90	1999
aaron-clissold_jonathon-cooper	AUS	162	1980	8	18	174	73	1997
aaron-clissold_marc-rapley	AUS	163	1988	11	12	163	71	2001
aaron-clissold_matthew-still	AUS	164	1977	11	9	183	52	2009
aaron-cohen	RSA	165	1983	11	6	160	74	1996
aaron-cohen_alvaro-fernandez-horta	ISR	166	1988	1	13	173	84	2000
aaron-cohen_chukwuemeka-mordi	RSA	167	1996	7	23	161	84	2001
aaron-cohen_daniel-webb	ISR	168	1988	11	12	185	63	2009
aaron-cohen_dor-gutterman	RSA	169	1994	8	30	165	74	2007
aaron-cohen_harry-butler	GBR	170	1980	10	23	147	64	1996
aaron-cohen_johan-ebertson	RSA	171	1994	9	9	162	50	1996
aaron-cohen_khololwam-montsi	RSA	172	1976	8	19	177	85	1996
aaron-cohen_niccolo-nahman	RSA	173	1975	7	8	177	60	2011
aaron-cohen_noam-cohen	ISR	174	1975	4	9	181	68	1996
aaron-cohen_oz-daniel	ISR	175	1980	12	25	179	55	2000
aaron-cohen_rahul-jaideep	RSA	176	1990	3	31	164	80	2010
aaron-cohen_rikhardt-bierman	RSA	177	1979	3	15	161	63	2002
aaron-cohen_samuel-townes	RSA	178	1979	8	16	181	51	2002
aaron-colas-sanchez	ESP	179	1982	8	14	163	84	2007
aaron-colas-sanchez_eric-garcia-crespo	ESP	180	1981	12	10	148	56	2002
aaron-colas-sanchez_jeremias-lima-perez	ESP	181	1978	8	31	175	71	2012
aaron-colas-sanchez_marco-almorin-lopez	ESP	182	1985	6	24	184	76	2012
aaron-colas-sanchez_yannick-martell-beuzit	ESP	183	1984	2	11	169	51	1997
aaron-cortes-alcaraz	ESP	184	1994	1	5	166	61	2006
aaron-cortes-alcaraz_aitor-sanz-llopis	ESP	185	1987	12	28	166	53	2006
aaron-cortes-alcaraz_alejandro-garcia-saez	ESP	186	1983	9	7	156	53	1999
aaron-cortes-alcaraz_alessandro-luisi	ESP	187	1976	5	28	152	88	2006
aaron-cortes-alcaraz_antoine-bellier	SUI	188	1986	11	18	187	65	2008
aaron-cortes-alcaraz_anton-chekhov	RUS	189	1990	10	9	177	76	1997
aaron-cortes-alcaraz_aria-harajchi	ESP	190	1993	6	4	169	53	1996
aaron-cortes-alcaraz_benjamin-winter-lopez	ESP	191	1990	6	21	175	55	2001
aaron-cortes-alcaraz_claudio-fortuna	ESP	192	1985	12	24	162	55	2011
aaron-cortes-alcaraz_congsup-congcar	THA	193	1975	1	7	170	77	2003
aaron-cortes-alcaraz_cristian-carli	ITA	194	1988	7	14	183	88	2009
aaron-cortes-alcaraz_cristobal-grandon-diaz	ESP	195	1977	2	14	147	67	1997
aaron-cortes-alcaraz_dane-dunlap	ESP	196	1985	11	8	184	45	2010
aaron-cortes-alcaraz_dariusz-lipka	ESP	197	1987	10	20	180	88	2010
aaron-cortes-alcaraz_darren-polkinghorne	ESP	198	1976	4	4	155	80	2009
aaron-cortes-alcaraz_davide-galoppini	ESP	199	1984	6	25	157	70	1997
aaron-cortes-alcaraz_davide-pontoglio	ESP	200	1976	1	31	171	51	2011
aaron-cortes-alcaraz_david-perez-sanz	ESP	201	1991	9	18	163	78	2006
aaron-cortes-alcaraz_duncan-mugabe	ESP	202	1975	1	5	187	78	2002
aaron-cortes-alcaraz_emiliano-franco-vecchia	ESP	203	1988	10	31	156	58	2012
aaron-cortes-alcaraz_enrico-becuzzi	ITA	204	1975	4	7	160	70	2003
aaron-cortes-alcaraz_fabrizio-ornago	ESP	205	1979	3	2	176	78	2010
aaron-cortes-alcaraz_fernando-bogajo	ESP	206	1982	5	6	169	82	2010
aaron-cortes-alcaraz_filippo-borella	ITA	207	1996	5	4	182	87	1999
aaron-cortes-alcaraz_francesco-bessire	ITA	208	1975	10	30	162	76	2007
aaron-cortes-alcaraz_franco-agamenone	ARG	209	1987	10	11	180	85	2010
aaron-cortes-alcaraz_franco-feitt	ESP	210	1981	9	8	157	51	2009
aaron-cortes-alcaraz_francois-arthur-vibert	ESP	211	1977	7	14	175	68	1996
aaron-cortes-alcaraz_gabi-adrian-boitan	ROU	212	1976	2	22	161	81	2008
aaron-cortes-alcaraz_gennaro-orazzo	ESP	213	1993	12	12	187	62	2001
aaron-cortes-alcaraz_gustavo-gomez-buyatti	ESP	214	1986	7	29	157	83	2002
aaron-cortes-alcaraz_hugo-largo	ESP	215	1981	3	18	148	85	2001
aaron-cortes-alcaraz_ivan-davydov	ESP	216	1984	10	1	177	73	1996
aaron-cortes-alcaraz_jordi-munoz-abreu	ESP	217	1990	12	21	149	65	2011
aaron-cortes-alcaraz_jose-manuel-roman-gomez	ESP	218	1987	8	19	187	54	1999
aaron-cortes-alcaraz_jose-maria-cortes-gonzalez	ESP	219	1981	5	10	184	64	2008
aaron-cortes-alcaraz_juan-pablo-canas-garcia	ESP	220	1983	6	20	158	60	2010
aaron-cortes-alcaraz_julian-onken	ESP	221	1976	11	22	167	51	2010
aaron-cortes-alcaraz_kevin-borges-pereira	BRA	222	1991	10	6	162	50	2002
aaron-cortes-alcaraz_kokou-missodey	ESP	223	1985	3	13	162	54	2008
aaron-cortes-alcaraz_koray-kirci	ESP	224	1987	10	11	173	47	2001
aaron-cortes-alcaraz_leandro-serrano-sanz	ESP	225	1993	2	10	152	67	2004
aaron-cortes-alcaraz_lennert-van-der-linden	ESP	226	1977	5	2	170	75	2002
aaron-cortes-alcaraz_luca-giacomini	ESP	227	1991	9	29	155	65	1997
aaron-cortes-alcaraz_luis-diego-chavez-villalpando	BOL	228	1990	9	19	163	76	1996
aaron-cortes-alcaraz_majed-kilani	ESP	229	1979	8	18	162	55	1998
aaron-cortes-alcaraz_maksim-tikhomirov	ESP	230	1982	7	21	163	64	2003
aaron-cortes-alcaraz_manuel-aragon-domenech	ESP	231	1985	10	6	185	74	2001
aaron-cortes-alcaraz_maximilian-mann	ESP	232	1987	11	30	173	83	1999
aaron-cortes-alcaraz_muhammet-haylaz	ESP	233	1993	3	17	168	89	1997
aaron-cortes-alcaraz_nicolas-alberto-arreche	ARG	234	1981	4	14	147	81	2006
aaron-cortes-alcaraz_nicolas-uryson	ESP	235	1978	2	6	147	76	2011
aaron-cortes-alcaraz_nicolas-xiviller	ESP	236	1995	2	13	187	77	2008
aaron-cortes-alcaraz_nuno-deus	ESP	237	1989	1	5	151	47	2001
aaron-cortes-alcaraz_pere-riba	ESP	238	1976	12	4	185	76	2002
aaron-cortes-alcaraz_santiago-maresca	ESP	239	1993	2	9	179	69	1999
aaron-cortes-alcaraz_sergio-gutierrez-ferrol	ESP	240	1979	7	6	184	90	2006
aaron-cortes-alcaraz_sergi-perez-contri	ESP	241	1982	3	22	173	71	2003
aaron-cortes-alcaraz_shibo-du	ESP	242	1988	12	7	172	53	2012
aaron-cortes-alcaraz_tak-khunn-wang	ESP	243	1985	4	3	182	86	2006
aaron-cortes-alcaraz_thomas-brechemier	FRA	244	1975	11	3	168	48	2007
aaron-cortes-alcaraz_thomas-statzberger	ESP	245	1996	5	22	176	70	2010
aaron-cortes-alcaraz_vladyslav-orlov	ESP	246	1994	12	1	148	70	2007
aaron-cortes-alcaraz_wolfgang-tsinga-liyombi	ESP	247	1992	5	31	172	45	2000
aaron-cortes-alcaraz_yan-bondarevskiy	RUS	248	1992	7	26	150	85	1998
aaron-cortes-alcaraz_yuri-syromolotov-netrebin	ESP	249	1986	1	8	172	47	2000
aaron-crichton	ANT	250	1996	6	2	172	55	2000
aaron-crichton_akeem-davis	ANT	251	1994	4	31	183	69	2001
aaron-croes	ARU	252	1984	3	29	173	68	2007
aaron-croes_amir-anches	ARU	253	1990	3	24	175	71	2002
aaron-crouts	USA	254	1988	1	10	159	72	1998
aaron-c-sham	HKG	255	1989	2	19	185	90	2003
aaron-c-sham_qianyi-geng	CHN	256	1982	9	1	168	88	2009
aaron-dapunt	ITA	257	1980	8	16	160	62	2005
aaron-dapunt_tobias-benno-kasseroler	ITA	258	1990	1	30	154	62	1997
aaron-de-leon	USA	259	1995	1	2	181	47	2011
aaron-de-leon_chris-johnson	USA	260	1990	10	14	171	54	1997
aaron-de-leon_jeff-miller	USA	261	1978	4	19	158	75	1999
aaron-diamond	USA	262	1982	3	23	172	51	2008
aaron-diemer	CAN	263	1976	5	7	173	81	2003
aaron-diemer_alan-cincunegui	MEX	264	1980	10	16	157	46	2005
aaron-diemer_aleksandar-petrovic	CAN	265	1983	10	1	186	50	2012
aaron-diemer_alexander-stater	CAN	266	1983	7	1	181	52	2010
aaron-diemer_andrew-day	CAN	267	1983	4	23	184	81	2000
aaron-diemer_carlos-grande	CAN	268	1995	2	2	158	74	2003
aaron-diemer_eddie-wu	CAN	269	1988	4	24	173	50	1996
aaron-diemer_ethan-prost	CAN	270	1975	5	13	163	57	2004
aaron-diemer_jack-pulliam	CAN	271	1988	6	16	152	81	2012
aaron-diemer_jerko-brkic	CRO	272	1982	3	21	172	78	2006
aaron-diemer_jose-giler-cho	CAN	273	1981	8	31	161	53	2011
aaron-diemer_luis-marcano	CAN	274	1976	12	1	160	61	1996
aaron-diemer_manroop-gill	CAN	275	1975	7	12	150	67	1998
aaron-diemer_matheus-ferreira-leite	CAN	276	1991	4	21	172	69	2001
aaron-diemer_michal-ostrzygalo	CAN	277	1989	10	15	173	88	2006
aaron-diemer_nikolai-storch	CAN	278	1987	11	1	161	61	2001
aaron-diemer_philippe-laroche	CAN	279	1994	8	19	149	83	1996
aaron-diemer_raul-dobai	CAN	280	1987	6	9	183	86	2002
aaron-diemer_robert-hammond	CAN	281	1989	6	8	157	90	2006
aaron-diemer_sasha-pachnev	CAN	282	1995	1	20	183	86	2012
aaron-diemer_shant-mardikian	CAN	283	1983	9	27	165	60	2009
aaron-diemer_thibault-aksoyek	BEL	284	1986	2	15	174	51	2005
aaron-diemer_zachary-garner	CAN	285	1991	12	23	168	60	2010
aaron-diemer_zummy-bauer	USA	286	1991	10	25	153	68	2003
aaron-dooley	USA	287	1984	8	31	175	85	2011
aaron-douglas	USA	288	1996	1	13	148	47	2005
aaron-dujovne	CHI	289	1996	10	7	182	84	2007
aaron-dujovne_alex-theiler	CHI	290	1976	9	29	152	71	1998
aaron-dujovne_alvaro-nazal	CHI	291	1982	10	7	161	83	2009
aaron-dujovne_andre-stabile	CHI	292	1982	9	1	184	81	1998
aaron-dujovne_claudio-romano	CHI	293	1977	10	22	151	67	2001
aaron-dujovne_diego-acosta	ECU	294	1987	9	13	154	61	2012
aaron-dujovne_fabian-balmaceda	CHI	295	1992	11	15	183	87	2007
aaron-dujovne_francisco-olivares	CHI	296	1982	3	20	180	47	2003
aaron-dujovne_francisco-stuardo	CHI	297	1987	2	25	167	46	2005
aaron-dujovne_ignacio-martire	CHI	298	1985	9	2	154	58	2006
aaron-dujovne_jorge-aguilar	CHI	299	1995	4	10	162	73	2010
aaron-dujovne_joss-espasandin	CHI	300	1986	11	27	162	46	1997
aaron-dujovne_juan-sebastian-vivanco	CHI	301	1985	5	19	166	46	1998
aaron-dujovne_laslo-urrutia-fuentes	CHI	302	1988	10	9	149	65	2000
aaron-dujovne_leandro-torres	CHI	303	1996	2	24	177	90	2011
aaron-dujovne_leonel-alberti	ARG	304	1976	2	26	149	77	2000
aaron-dujovne_luis-ignacio-morales	CHI	305	1988	5	14	172	61	2002
aaron-dujovne_michael-leong	CHI	306	1987	12	21	170	71	2000
aaron-dujovne_milos-sekulic	CHI	307	1988	4	10	154	65	2000
aaron-dujovne_pablo-arcos	CHI	308	1986	11	16	184	78	1998
aaron-dujovne_pedro-bosio	CHI	309	1981	12	15	187	54	2005
aaron-dujovne_robert-coman	ROU	310	1996	12	16	187	47	2000
aaron-dujovne_uriel-oquendo	CHI	311	1977	10	16	165	89	2007
aaron-dujovne_victor-nunez	CHI	312	1987	12	23	183	77	2009
aaron-dujovne_vlad-cirla	ROU	313	1975	8	19	155	75	2006
aaron-dvorak	USA	314	1982	3	4	182	81	2000
aaron-dvorak_ben-wismer	USA	315	1987	3	4	148	69	2012
aaron-dvorak_trace-fielding	USA	316	1980	7	31	147	66	2009
aaron-ehinger	Germany	317	1976	9	4	178	83	1996
aaron-elbert	USA	318	1976	10	18	182	67	2005
aaron-ellis	USA	319	1977	3	7	170	50	2012
aaron-endress	USA	320	1983	5	25	165	47	2012
aaron-endress_bryan-endress	USA	321	1989	4	18	187	79	2012
aaron-endress_todd-scheck	USA	322	1993	5	29	170	47	1999
aaron-fernandes	IND	323	1986	8	17	170	62	2004
aaron-fernandes_karthik-raju	IND	324	1980	8	18	151	71	1997
aaron-forsberg	USA	325	1987	11	12	152	83	2002
aaron-fowler	USA	326	1996	6	5	169	79	2005
aaron-fox	USA	327	1982	7	26	187	65	2004
aaron-frederick	USA	328	1989	2	29	157	66	2012
aaron-frisch	USA	329	1982	10	12	163	73	1997
aaron-gil-garcia	ESP	330	1991	6	9	177	79	2003
aaron-glenn-stubbs	IRL	331	1988	4	5	172	57	2003
aaron-glenn-stubbs_harry-heyburn	IRL	332	1979	9	27	153	71	1997
aaron-glenn-stubbs_rory-curtis	IRL	333	1989	7	29	180	76	2000
aaron-hawkins	USA	334	1995	1	1	147	88	2010
aaron-hepburn	GBR	335	1996	6	26	175	54	2008
aaron-hepburn_david-quayle	GBR	336	1985	1	21	167	68	2008
aaron-hepburn_euan-lynes	GBR	337	1994	7	2	174	89	2001
aaron-hepburn_harry-lazell	GBR	338	1993	6	15	184	46	2009
aaron-hepburn_herbie-mckenna-morgan	GBR	339	1980	10	19	169	71	2003
aaron-hepburn_isaac-sturgess	GBR	340	1975	10	18	167	59	2012
aaron-hepburn_jack-davis	CAN	341	1996	1	17	162	56	2010
aaron-hepburn_jacob-fearnley	GBR	342	1984	8	7	168	77	2010
aaron-hepburn_marko-vujic	GBR	343	1983	3	14	154	59	2001
aaron-hepburn_milledge-cossu	USA	344	1980	11	3	153	72	2006
aaron-hepburn_rahul-dhokia	GBR	345	1975	8	27	184	62	1996
aaron-hepburn_ross-martin	GBR	346	1988	12	8	154	89	2008
aaron-hepburn_tad-maclean	GBR	347	1978	10	23	165	61	2012
aaron-hepburn_yugo-homma	GBR	348	1977	9	1	166	57	2011
aaron-hernandez	ESA	349	1976	3	19	168	70	2000
aaron-hernandez_felipe-kattan	ESA	350	1987	5	25	185	58	1997
aaron-james-williams	Germany	351	1976	8	21	183	90	2002
aaron-james-williams_jordan-coutinho	RSA	352	1987	8	14	178	66	2008
aaron-james-williams_nichita-sprinci	MDA	353	1994	8	2	175	84	2010
aaron-jinks	GBR	354	1980	7	10	172	45	2000
aaron-kennedy	LBR	355	1990	5	9	152	89	1996
aaron-kennedy_pony-marshall	LBR	356	1983	10	9	187	89	1997
aaron-kennedy_samuel-jalloh	SLE	357	1984	1	21	186	74	1997
aaron-klapper	USA	358	1994	2	10	151	61	1997
aaron-knowles	NZL	359	1985	6	3	162	85	2004
aaron-knowles_steven-koszegi	NZL	360	1994	6	28	181	46	1999
aaron-koopman	RSA	361	1995	4	8	163	76	2003
aaron-kosub	AUS	362	1990	3	28	183	70	2000
aaron-kosub_adam-lownsbrough	AUS	363	1986	7	30	153	64	2008
aaron-kosub_brad-grose	AUS	364	1991	9	1	168	90	2006
aaron-kosub_lance-maurici	AUS	365	1994	9	18	147	49	1998
aaron-kosub_paul-gibson	AUS	366	1996	10	26	176	71	1998
aaron-kosub_philip-horyna	SUI	367	1995	7	1	182	81	2004
aaron-kosub_tom-paino	AUS	368	1984	10	4	160	57	1997
aaron-kovac	AUS	369	1992	6	2	152	88	2012
aaron-kovac_george-cifranic	AUS	370	1996	10	23	176	46	2007
aaron-krickstein	USA	371	1989	7	12	167	72	2007
aaron-krisan	USA	372	1985	6	2	148	59	2007
aaron-krisan_calvin-kemp	USA	373	1976	8	14	155	51	2010
aaron-krisan_christopher-lee	USA	374	1995	9	15	171	73	2001
aaron-krisan_kyle-eddins	USA	375	1979	4	30	178	66	2005
aaron-kurchishvili	ISR	376	1988	10	10	148	88	2002
aaron-leeder-chard	AUS	377	1980	3	8	167	75	2002
aaron-leeder-chard_alex-j-trillini	AUS	378	1988	11	16	165	76	1997
aaron-leeder-chard_andrew-thomas	AUS	379	1977	2	11	163	68	1997
aaron-leeder-chard_chris-letcher	AUS	380	1975	7	27	174	65	2004
aaron-leeder-chard_cory-phillips	AUS	381	1987	9	10	186	54	2012
aaron-leeder-chard_daniel-ferretti	AUS	382	1993	3	29	177	60	2009
aaron-leeder-chard_darren-polkinghorne	AUS	383	1975	5	18	157	50	1998
aaron-leeder-chard_david-barclay	AUS	384	1996	1	15	178	77	2005
aaron-leeder-chard_david-sofaer	AUS	385	1980	8	17	186	71	1997
aaron-leeder-chard_kieren-thompson	AUS	386	1988	12	16	183	70	2012
